goods_id,商品名,商品名_原文,ジャンル,ジャンル_原文,直近成約価格_円,直近成約日,直近30日間の成約数_近似,直近30日間の平均成約価格_円,現在出品最安値_円,現在出品最高値_円,現在出品参考価格_円,現在出品数,備考,取得日
55,M4A1:全機待機 先鋒版(専属),M4A1: Golden Grandeur Vanguard Edition (Exclusive),銃器,Weapon,3553,2026-09-17,15,3514,4072,1571409,6286,181,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-20
56,M4A1:全機待機 豪華版(専属),M4A1: Golden Grandeur Enjoy Edition (Exclusive),銃器,Weapon,6286,2026-09-17,3,6286,6286,96062,12571,29,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-20
57,M4A1:全機待機 進化版(専属),M4A1: Golden Grandeur Advanced Edition (Exclusive),銃器,Weapon,12571,2026-09-02,1,12571,12571,12571,25143,3,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-20
58,M4A1:全機待機 旗艦版(専属),M4A1: Golden Grandeur Flagship Edition (Exclusive),銃器,Weapon,23571,2026-08-31,2,23571,23571,25143,47142,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-20
59,M4A1:全機待機 豪華版Ⅰ(専属),M4A1: Golden Grandeur Deluxe Edition I (Exclusive),銃器,Weapon,42428,2026-09-17,4,42428,42428,42458,84856,6,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-20
60,M4A1:全機待機 豪華版Ⅱ(専属),M4A1: Golden Grandeur Deluxe Edition II (Exclusive),銃器,Weapon,,,,,125713,141427,251425,3,直近30日間の取引データなし,2026-09-20
61,M4A1:全機待機 豪華版Ⅲ(専属),M4A1: Golden Grandeur Deluxe Edition III (Exclusive),銃器,Weapon,,,,,353567,353567,707134,3,直近30日間の取引データなし,2026-09-20
62,95式:不知火舞 先鋒版(専属),QBZ-95: Mai Shiranui Vanguard Edition (Exclusive),銃器,Weapon,5612,2026-09-19,38,5919,5780,1571409,8643,124,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-20
63,95式:不知火舞 豪華版(専属),QBZ-95: Mai Shiranui Enjoy Edition (Exclusive),銃器,Weapon,9037,2026-09-20,54,8715,8460,149243,17285,28,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-20
64,95式:不知火舞 旗艦版(専属),QBZ-95: Mai Shiranui Flagship Edition (Exclusive),銃器,Weapon,13828,2026-09-20,31,13828,13828,42191,34571,12,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-20
